id,quote,author
1,"The only way to do great work is to love what you do.",Steve Jobs
2,"Believe you can and you're halfway there.",Theodore Roosevelt
3,"Success is not final, failure is not fatal: It is the courage to continue that counts.",Winston Churchill
4,"The only limit to our realization of tomorrow will be our doubts of today.",Franklin D. Roosevelt
5,"The only source of knowledge is experience.",Albert Einstein
6,"Dream big and dare to fail.",Norman Vaughan
7,"The future belongs to those who believe in the beauty of their dreams.",Eleanor Roosevelt
8,"Don't watch the clock; do what it does. Keep going.",Sam Levenson
9,"You are never too old to set another goal or to dream a new dream.",C.S. Lewis
10,"Believe in yourself and all that you are. Know that there is something inside you that is greater than any obstacle.",Christian D. Larson
11,"The best way to predict the future is to create it.",Peter Drucker
12,"You miss 100% of the shots you don’t take.",Wayne Gretzky
13,"It does not matter how slowly you go as long as you do not stop.",Confucius
14,"In the middle of every difficulty lies opportunity.",Albert Einstein
15,"Everything you’ve ever wanted is on the other side of fear.",George Addair
16,"You are never too old to set another goal or to dream a new dream.",Les Brown
17,"Success is stumbling from failure to failure with no loss of enthusiasm.",Winston S. Churchill
18,"What you get by achieving your goals is not as important as what you become by achieving your goals.",Zig Ziglar
19,"The only way to achieve the impossible is to believe it is possible.",Charles Kingsleigh
20,"Hardships often prepare ordinary people for an extraordinary destiny.",C.S. Lewis